-- run 1 events --
class          start      dur     rest
  0 (class)   239.86     1.50     0.19
  0 (class)   241.55     1.50     0.13
  0 (class)   243.18     1.50     0.37
  0 (class)   245.05     1.50     0.32
  0 (class)   246.87     1.50     0.15
  0 (class)   248.52     1.50     0.16
  0 (class)   250.18     1.50     0.40
  0 (class)   252.08     1.50     0.46
  0 (class)   254.04     1.50     0.34
  0 (class)   255.88     1.50     0.43
  0 (class)   257.81     1.50     0.15
  0 (class)   259.46     1.50     0.21
  0 (class)   261.17     1.50     0.26
  0 (class)   262.93     1.50     0.07
  0 (class)   264.50     1.50     0.00

-- run 4 events --
class          start      dur     rest
-----          -----     ----     ----
  0 (class)    10.00     1.50     0.32
  0 (class)    11.82     1.50     0.44
  0 (class)    13.76     1.50     0.14
  0 (class)    15.40     1.50     0.47
  0 (class)    17.37     1.50     0.08
  0 (class)    18.95     1.50     0.13
  0 (class)    20.58     1.50     0.03
  0 (class)    22.11     1.50     0.21
  0 (class)    23.82     1.50     0.33
  0 (class)    25.65     1.50     0.44
  0 (class)    27.59     1.50     0.08
  0 (class)    29.17     1.50     0.08
  0 (class)    30.75     1.50     0.44
  0 (class)    32.69     1.50     0.50
  0 (class)    34.69     1.50     0.22
  0 (class)    36.41     1.50     0.04
  0 (class)    37.95     1.50     0.05
  0 (class)    39.50     1.50     0.26
  0 (class)    41.26     1.50     0.14
  0 (class)    42.90     1.50     0.47
  0 (class)    44.87     1.50     0.49
  0 (class)    46.86     1.50     0.11
  0 (class)    48.47     1.50     0.31
  0 (class)    50.28     1.50     0.04
  0 (class)    51.82     1.50     0.06
  0 (class)    53.38     1.50     0.41
  0 (class)    55.29     1.50     0.06
  0 (class)    56.85     1.50     0.05
  0 (class)    58.40     1.50     0.31
  0 (class)    60.21     1.50     0.17
  0 (class)    61.88     1.50     0.42
  0 (class)    63.80     1.50     0.02
  0 (class)    65.32     1.50     0.45
  0 (class)    67.27     1.50     0.07
  0 (class)    68.84     1.50     0.47
  0 (class)    70.81     1.50     0.36
  0 (class)    72.67     1.50     0.02
  0 (class)    74.19     1.50     0.40
  0 (class)    76.09     1.50     0.25
  0 (class)    77.84     1.50     0.16
  0 (class)    79.50     1.50     0.50
  0 (class)    81.50     1.50     0.42
  0 (class)    83.42     1.50     0.11
  0 (class)    85.03     1.50     0.39
  0 (class)    86.92     1.50     0.18
  0 (class)    88.60     1.50     0.47
  0 (class)    90.57     1.50     0.07
  0 (class)    92.14     1.50     0.34
  0 (class)    93.98     1.50     0.49
  0 (class)    95.97     1.50     0.23
  0 (class)    97.70     1.50     0.19
  0 (class)    99.39     1.50     0.37
  0 (class)   101.26     1.50     0.28
  0 (class)   103.04     1.50     0.00
  0 (class)   104.54     1.50     0.50
  0 (class)   106.54     1.50     0.42
  0 (class)   108.46     1.50     0.01
  0 (class)   109.97     1.50     0.47
  0 (class)   111.94     1.50     0.18
  0 (class)   113.62     1.50     0.41
  0 (class)   115.53     1.50     0.49
  0 (class)   117.52     1.50     0.09
  0 (class)   119.11     1.50     0.14
  0 (class)   120.75     1.50     0.35
  0 (class)   122.60     1.50     0.28
  0 (class)   124.38     1.50     0.38
  0 (class)   126.26     1.50     0.36
  0 (class)   128.12     1.50     0.05
  0 (class)   129.67     1.50     0.45
  0 (class)   131.62     1.50     0.14
  0 (class)   133.26     1.50     0.46
  0 (class)   135.22     1.50     0.13
  0 (class)   136.85     1.50     0.50
  0 (class)   138.85     1.50     0.01
  0 (class)   140.36     1.50     0.28
  0 (class)   142.14     1.50     0.17
  0 (class)   143.81     1.50     0.39
  0 (class)   145.70     1.50     0.46
  0 (class)   147.66     1.50     0.32
  0 (class)   149.48     1.50     0.21
  0 (class)   151.19     1.50     0.43
  0 (class)   153.12     1.50     0.42
  0 (class)   155.04     1.50     0.38
  0 (class)   156.92     1.50     0.35
  0 (class)   158.77     1.50     0.50
  0 (class)   160.77     1.50     0.00
  0 (class)   162.27     1.50     0.28
  0 (class)   164.05     1.50     0.11
  0 (class)   165.66     1.50     0.33
  0 (class)   167.49     1.50     0.45
  0 (class)   169.44     1.50     0.49
  0 (class)   171.43     1.50     0.26
  0 (class)   173.19     1.50     0.12
  0 (class)   174.81     1.50     0.23
  0 (class)   176.54     1.50     0.50
  0 (class)   178.54     1.50     0.37
  0 (class)   180.41     1.50     0.06
  0 (class)   181.97     1.50     0.45
  0 (class)   183.92     1.50     0.47
  0 (class)   185.89     1.50     0.46
  0 (class)   187.85     1.50     0.48
  0 (class)   189.83     1.50     0.34
  0 (class)   191.67     1.50     0.21
  0 (class)   193.38     1.50     0.15
  0 (class)   195.03     1.50     0.38
  0 (class)   196.91     1.50     0.40
  0 (class)   198.81     1.50     0.29
  0 (class)   200.60     1.50     0.09
  0 (class)   202.19     1.50     0.31
  0 (class)   204.00     1.50     0.08
  0 (class)   205.58     1.50     0.43
  0 (class)   207.51     1.50     0.40
  0 (class)   209.41     1.50     0.27
  0 (class)   211.18     1.50     0.40
  0 (class)   213.08     1.50     0.27
  0 (class)   214.85     1.50     0.36
  0 (class)   216.71     1.50     0.29
  0 (class)   218.50     1.50     0.00
  0 (class)   220.00     1.50     0.25
  0 (class)   221.75     1.50     0.04
  0 (class)   223.29     1.50     0.19
  0 (class)   224.98     1.50     0.48
  0 (class)   226.96     1.50     0.16
  0 (class)   228.62     1.50     0.32
  0 (class)   230.44     1.50     0.12
  0 (class)   232.06     1.50     0.43
  0 (class)   233.99     1.50     0.20
  0 (class)   235.69     1.50     0.16
  0 (class)   237.35     1.50     0.40
  0 (class)   239.25     1.50     0.36
  0 (class)   241.11     1.50     0.46
  0 (class)   243.07     1.50     0.41
  0 (class)   244.98     1.50     0.34
  0 (class)   246.82     1.50     0.39
  0 (class)   248.71     1.50     0.49
  0 (class)   250.70     1.50     0.34
  0 (class)   252.54     1.50     0.22
  0 (class)   254.26     1.50     0.08
  0 (class)   255.84     1.50     0.05
  0 (class)   257.39     1.50     0.18
  0 (class)   259.07     1.50     0.18
  0 (class)   260.75     1.50     0.34
  0 (class)   262.59     1.50     0.41
  0 (class)   264.50     1.50     0.00

